,Town name,Latitude,Longitude
1657,Zvotoky,49°12′45″,13°45′28″
1658,Balkova Lhota,49°27′8″,14°36′30″
1659,Bečice (okres Tábor),49°22′58″,14°33′12″
1660,Bechyně,49°17′43″,14°28′5″
1661,Běleč (okres Tábor),49°32′37″,14°50′14″
1662,Borkovice,49°12′29″,14°38′36″
1663,Borotín (okres Tábor),49°30′18″,14°36′47″
1664,Bradáčov,49°29′28″,14°52′16″
1665,Březnice (okres Tábor),49°15′7″,14°30′50″
1666,Budislav (okres Tábor),49°17′38″,14°50′15″
1667,Černýšovice,49°19′31″,14°31′14″
1668,Dírná,49°14′35″,14°50′41″
1669,Dlouhá Lhota (okres Tábor),49°21′9″,14°47′20″
1670,Dobronice u Bechyně,49°20′36″,14°29′48″
1671,Dolní Hořice,49°26′8″,14°51′2″
1672,Dolní Hrachovice,49°29′10″,14°47′50″
1673,Drahov,49°10′32″,14°45′15″
1674,Dráchov,49°13′35″,14°42′24″
1675,Dražice,49°25′46″,14°35′24″
1676,Dražičky,49°23′57″,14°35′55″
1677,Drhovice,49°25′58″,14°33′30″
1678,Haškovcova Lhota,49°19′57″,14°28′0″
1679,Hlasivo,49°29′55″,14°45′1″
1680,Hlavatce (okres Tábor),49°17′44″,14°37′16″
1681,Hodětín,49°15′8″,14°32′55″
1682,Hodonice (okres Tábor),49°16′7″,14°29′15″
1683,Chotěmice,49°16′31″,14°52′37″
1684,Chotoviny,49°28′41″,14°40′37″
1685,Choustník,49°19′59″,14°50′18″
1686,Chrbonín,49°21′31″,14°51′52″
1687,Chýnov,49°24′25″,14°48′40″
1688,Jedlany,49°29′41″,14°42′59″
1689,Jistebnice,49°29′8″,14°31′39″
1690,Katov (okres Tábor),49°16′54″,14°49′43″
1691,Klenovice (okres Tábor),49°16′44″,14°42′56″
1692,Komárov (okres Tábor),49°15′,14°35′39″
1693,Košice (okres Tábor),49°19′31″,14°45′5″
1694,Košín,49°27′23″,14°39′31″
1695,Krátošice,49°19′33″,14°47′12″
1696,Krtov,49°20′55″,14°49′57″
1697,Libějice,49°22′37″,14°37′26″
1698,Lom (okres Tábor),49°21′47″,14°37′42″
1699,Malšice,49°21′50″,14°34′43″
1700,Mažice,49°12′49″,14°36′46″
1701,Meziříčí (okres Tábor),49°26′12″,14°34′30″
1702,Mezná (okres Tábor),49°15′30″,14°48′3″
1703,Mladá Vožice,49°32′0″,14°48′31″
1704,Mlýny,49°20′11″,14°52′37″
1705,Myslkovice,49°17′57″,14°44′44″
1706,Nadějkov,49°30′10″,14°28′45″
1707,Nasavrky (okres Tábor),49°27′7″,14°38′26″
1708,Nemyšl,49°30′50″,14°41′33″
1709,Nová Ves u Chýnova,49°23′34″,14°46′59″
1710,Nová Ves u Mladé Vožice,49°32′35″,14°44′53″
1711,Oldřichov (okres Tábor),49°33′32″,14°45′15″
1712,Opařany,49°23′49″,14°28′53″
1713,Planá nad Lužnicí,49°21′16″,14°42′5″
1714,Pohnánec,49°28′25″,14°48′10″
1715,Pohnání,49°28′39″,14°48′40″
1716,Pojbuky,49°29′45″,14°53′48″
1717,Přehořov,49°14′52″,14°45′23″
1718,Psárov,49°19′8″,14°54′20″
1719,Radenín,49°22′10″,14°50′27″
1720,Radětice (okres Tábor),49°19′10″,14°26′29″
1721,Radimovice u Tábora,49°27′27″,14°38′21″
1722,Radimovice u Želče,49°22′38″,14°38′51″
1723,Radkov (okres Tábor),49°27′57″,14°36′40″
1724,Rataje (okres Tábor),49°21′,14°26′45″
1725,Ratibořské Hory,49°27′46″,14°46′11″
1726,Rodná,49°29′25″,14°50′33″
1727,Roudná,49°18′16″,14°43′7″
1728,Řemíčov,49°30′54″,14°46′30″
1729,Řepeč,49°24′13″,14°31′11″
1730,Řípec,49°12′51″,14°44′12″
1731,Sedlečko u Soběslavě,49°16′58″,14°44′34″
1732,Sezimovo Ústí,49°23′7″,14°41′5″
1733,Skalice (okres Tábor),49°18′12″,14°41′43″
1734,Skopytce,49°19′53″,14°47′53″
1735,Skrýchov u Malšic,49°19′49″,14°35′48″
1736,Slapsko,49°34′31″,14°45′46″
1737,Slapy (okres Tábor),49°23′13″,14°37′0″
1738,Smilovy Hory,49°32′11″,14°52′33″
1739,Soběslav,49°15′36″,14°43′7″
1740,Stádlec,49°22′47″,14°29′42″
1741,Sudoměřice u Bechyně,49°17′23″,14°32′18″
1742,Sudoměřice u Tábora,49°30′37″,14°39′31″
1743,Sviny (okres Tábor),49°11′14″,14°38′9″
1744,Svrabov,49°26′51″,14°37′36″
1745,Šebířov,49°33′59″,14°49′35″
1746,Tábor,49°24′52″,14°39′28″
1747,Třebějice,49°14′40″,14°49′11″
1748,Tučapy (okres Tábor),49°17′29″,14°48′12″
1749,Turovec,49°22′42″,14°46′8″
1750,Ústrašice,49°20′25″,14°41′4″
1751,Val (okres Tábor),49°8′46″,14°45′22″
1752,Vesce (okres Tábor),49°14′59″,14°40′37″
1753,Veselí nad Lužnicí,49°11′4″,14°41′50″
1754,Vilice,49°33′52″,14°51′52″
1755,Vlastiboř (okres Tábor),49°15′29″,14°38′12″
1756,Vlčeves,49°21′26″,14°54′2″
1757,Vlkov (okres Tábor),49°9′5″,14°43′31″
1758,Vodice (okres Tábor),49°27′52″,14°54′32″
1759,Zadní Střítež,49°29′39″,14°55′
1760,Záhoří (okres Tábor),49°14′23″,14°30′49″
1761,Zálší (okres Tábor),49°13′5″,14°35′57″
1762,Zhoř u Mladé Vožice,49°32′37″,14°45′54″
1763,Zhoř u Tábora,49°21′27″,14°39′27″
1764,Zlukov,49°11′35″,14°44′42″
1765,Zvěrotice,49°16′19″,14°44′41″
1766,Želeč (okres Tábor),49°19′6″,14°38′48″
1767,Žíšov,49°12′,14°41′36″
1768,Babylon (okres Domažlice),49°23′56″,12°51′46″
1769,Bělá nad Radbuzou,49°35′29″,12°43′4″
1770,Blížejov,49°30′,12°59′21″
1771,Brnířov,49°22′58″,13°2′59″
1772,Čermná (okres Domažlice),49°31′54″,13°7′0″
1773,Česká Kubice,49°22′10″,12°51′32″
1774,Díly,49°26′47″,12°47′11″
1775,Domažlice,49°26′26″,12°55′47″
1776,Drahotín,49°31′27″,12°45′29″
1777,Draženov,49°27′21″,12°52′22″
1778,Hlohová,49°32′3″,13°4′29″
1779,Hlohovčice,49°31′15″,13°6′50″
1780,Hora Svatého Václava,49°31′8″,12°44′24″
1781,Horšovský Týn,49°31′47″,12°56′39″
1782,Hostouň (okres Domažlice),49°33′35″,12°46′17″
1783,Hradiště (okres Domažlice),49°27′54″,13°3′6″
1784,Hvožďany (okres Domažlice),49°30′20″,12°46′17″
1785,Chocomyšl,49°28′2″,13°7′51″
1786,Chodov (okres Domažlice),49°25′5″,12°49′49″
1787,Chodská Lhota,49°21′30″,13°5′0″
1788,Chrastavice,49°27′13″,12°57′25″
1789,Kanice (okres Domažlice),49°28′30″,13°4′22″
1790,Kaničky,49°28′29″,13°8′44″
1791,Kdyně,49°23′27″,13°2′23″
1792,Klenčí pod Čerchovem,49°26′6″,12°48′53″
1793,Koloveč,49°29′13″,13°6′32″
1794,Kout na Šumavě,49°24′10″,13°0′8″
1795,Křenovy,49°32′21″,13°1′18″
1796,Libkov (okres Domažlice),49°21′59″,13°8′4″
1797,Loučim,49°22′2″,13°6′44″
1798,Luženičky,49°27′32″,12°53′51″
1799,Meclov,49°30′20″,12°52′51″
1800,Mezholezy (dříve okres Domažlice),49°24′43″,13°6′14″
1801,Mezholezy (dříve okres Horšovský Týn),49°37′29″,12°54′18″
1802,Milavče,49°28′1″,12°58′51″
1803,Mířkov,49°35′22″,12°52′51″
1804,Mnichov (okres Domažlice),49°29′49″,12°45′52″
1805,Močerady,49°31′3″,13°4′28″
1806,Mrákov,49°24′12″,12°57′4″
1807,Mutěnín,49°32′42″,12°44′41″
1808,Nemanice,49°26′12″,12°43′14″
1809,Němčice (okres Domažlice),49°25′31″,13°4′39″
1810,Nevolice,49°25′14″,12°56′0″
1811,Nová Ves (okres Domažlice),49°22′0″,13°2′20″
1812,Nový Kramolín,49°28′39″,12°48′18″
1813,Osvračín,49°30′48″,13°2′49″
1814,Otov,49°29′12″,12°50′33″
1815,Pařezov,49°28′10″,12°50′21″
1816,Pasečnice,49°23′39″,12°53′43″
1817,Pec (okres Domažlice),49°23′55″,12°49′52″
1818,Pelechy,49°23′21″,12°54′50″
1819,Poběžovice,49°30′37″,12°48′10″
1820,Pocinovice,49°20′37″,13°8′
1821,Poděvousy,49°31′39″,13°7′52″
1822,Postřekov,49°27′30″,12°48′25″
1823,Puclice,49°33′13″,13°1′10″
1824,Rybník (okres Domažlice),49°30′46″,12°40′36″
1825,Semněvice,49°35′52″,12°55′45″
1826,Spáňov,49°24′53″,12°59′14″
1827,Srbice (okres Domažlice),49°30′30″,13°7′7″
1828,Srby (okres Domažlice),49°32′13″,12°52′6″
1829,Staňkov (okres Domažlice),49°33′13″,13°4′11″
1830,Stráž (okres Domažlice),49°24′53″,12°54′47″
1831,Tlumačov (okres Domažlice),49°24′13″,12°55′44″
1832,Trhanov,49°25′13″,12°50′44″
1833,Úboč,49°26′37″,13°5′13″
1834,Újezd (okres Domažlice),49°26′8″,12°52′11″
1835,Únějovice,49°27′44″,13°7′7″
1836,Úsilov,49°23′49″,13°7′37″
1837,Velký Malahov,49°37′25″,12°57′19″
1838,Vidice (okres Domažlice),49°36′50″,12°50′8″
1839,Vlkanov (okres Domažlice),49°29′19″,12°48′19″
1840,Všepadly,49°27′4″,13°6′19″
1841,Všeruby (okres Domažlice),49°20′27″,12°59′0″
1842,Zahořany (okres Domažlice),49°26′3″,13°0′7″
1843,Ždánov (okres Domažlice),49°27′40″,12°51′16″
1844,Běhařov,49°20′42″,13°9′37″
1845,Běšiny,49°18′6″,13°18′45″
1846,Bezděkov (okres Klatovy),49°22′51″,13°13′39″
1847,Biřkov,49°31′5″,13°13′49″
1848,Bolešiny,49°24′36″,13°21′42″
1849,Břežany (okres Klatovy),49°20′56″,13°37′3″
1850,Budětice,49°17′,13°35′5″
1851,Bukovník,49°13′21″,13°39′41″
1852,Čachrov,49°15′56″,13°18′9″
1853,Černíkov,49°25′22″,13°7′48″
1854,Červené Poříčí,49°30′7″,13°17′40″
1855,Číhaň,49°20′33″,13°25′33″
1856,Čímice,49°15′13″,13°36′21″
1857,Dešenice,49°16′28″,13°10′16″
1858,Dlažov,49°21′57″,13°9′59″
1859,Dlouhá Ves (okres Klatovy),49°11′47″,13°30′33″
1860,Dobršín,49°15′41″,13°33′40″
1861,Dolany (okres Klatovy),49°26′36″,13°14′53″
1862,Domoraz,49°15′3″,13°39′43″
1863,Dražovice (okres Klatovy),49°13′29″,13°36′25″
1864,Frymburk (okres Klatovy),49°14′59″,13°42′26″
1865,Hamry (okres Klatovy),49°12′55″,13°9′38″
1866,Hartmanice,49°10′10″,13°27′16″
1867,Hejná,49°17′22″,13°40′29″
1868,Hlavňovice,49°14′17″,13°23′42″
1869,Hnačov,49°21′43″,13°28′54″
1870,Horažďovice,49°19′15″,13°42′4″
1871,Horská Kvilda,49°3′28″,13°33′29″
1872,Hrádek (okres Klatovy),49°15′41″,13°29′55″
1873,Hradešice,49°19′24″,13°35′47″
1874,Chanovice,49°24′18″,13°43′3″
1875,Chlistov,49°19′12″,13°21′39″
1876,Chudenice,49°28′,13°10′26″
1877,Chudenín,49°17′35″,13°6′3″
1878,Janovice nad Úhlavou,49°20′43″,13°13′5″
1879,Javor (okres Klatovy),49°19′31″,13°14′50″
1880,Ježovy,49°29′28″,13°13′42″
1881,Kašperské Hory,49°8′35″,13°33′22″
1882,Kejnice,49°16′1″,13°41′39″
1883,Klatovy,49°23′44″,13°17′42″
1884,Klenová,49°20′,13°14′0″
1885,Kolinec,49°17′57″,13°26′21″
1886,Kovčín,49°24′57″,13°36′24″
1887,Křenice (okres Klatovy),49°30′10″,13°12′1″
1888,Kvášňovice,49°24′47″,13°38′31″
1889,Lomec (okres Klatovy),49°22′17″,13°16′3″
1890,Malý Bor,49°19′50″,13°39′8″
1891,Maňovice,49°23′35″,13°39′14″
1892,Měčín,49°28′49″,13°24′11″
1893,Mezihoří (okres Klatovy),49°29′19″,13°15′17″
1894,Mlýnské Struhadlo,49°25′54″,13°28′12″
1895,Modrava,49°1′27″,13°29′58″
1896,Mochtín,49°21′38″,13°21′25″
1897,Mokrosuky,49°16′32″,13°27′17″
1898,Myslív,49°24′51″,13°34′21″
1899,Myslovice,49°24′25″,13°23′13″
1900,Nalžovské Hory,49°20′1″,13°32′59″
1901,Nehodiv,49°24′39″,13°33′23″
1902,Nezamyslice (okres Klatovy),49°15′45″,13°40′30″
1903,Nezdice na Šumavě,49°10′22″,13°36′44″
1904,Nýrsko,49°17′38″,13°8′37″
1905,Obytce,49°23′27″,13°22′43″
1906,Olšany (okres Klatovy),49°24′3″,13°37′37″
1907,Ostřetice,49°25′21″,13°20′49″
1908,Pačejov,49°22′23″,13°37′58″
1909,Petrovice u Sušice,49°13′8″,13°26′27″
1910,Plánice,49°23′24″,13°28′16″
1911,Podmokly (okres Klatovy),49°13′49″,13°34′41″
1912,Poleň,49°25′30″,13°10′36″
1913,Prášily,49°6′19″,13°22′41″
1914,Předslav,49°26′51″,13°21′16″
1915,Rabí,49°16′51″,13°37′3″
1916,Rejštejn,49°8′26″,13°30′55″
1917,Slatina (okres Klatovy),49°23′16″,13°44′39″
1918,Soběšice,49°12′28″,13°41′3″
1919,Srní (okres Klatovy),49°5′14″,13°28′50″
1920,Strašín,49°10′46″,13°38′26″
1921,Strážov,49°18′12″,13°14′47″
1922,Sušice,49°13′52″,13°31′13″
1923,Svéradice,49°22′17″,13°44′23″
1924,Švihov,49°28′53″,13°17′3″
1925,Tužice,49°20′6″,13°30′38″
1926,Týnec (okres Klatovy),49°20′50″,13°15′50″
1927,Újezd u Plánice,49°25′3″,13°27′28″
1928,Velhartice,49°15′55″,13°23′23″
1929,Velké Hydčice,49°17′57″,13°40′5″
1930,Velký Bor,49°21′54″,13°42′5″
1931,Vrhaveč,49°20′44″,13°17′47″
1932,Vřeskovice,49°31′32″,13°16′16″
1933,Zavlekov,49°20′15″,13°29′26″
1934,Zborovy,49°22′52″,13°30′56″
1935,Železná Ruda,49°8′15″,13°14′7″
1936,Žihobce,49°12′56″,13°37′54″
1937,Žichovice,49°16′2″,13°37′40″
1938,Blovice,49°34′56″,13°32′24″
1939,Bolkov,49°32′1″,13°13′26″
1940,Borovno,49°37′19″,13°41′26″
1941,Borovy,49°31′31″,13°18′9″
1942,Buková (okres Plzeň-jih),49°32′15″,13°9′32″
1943,Bukovec (okres Plzeň-jih),49°35′11″,12°59′43″
1944,Čečovice,49°35′7″,13°1′18″
1945,Černovice (okres Plzeň-jih),49°36′56″,12°59′49″
1946,Čižice,49°38′53″,13°23′53″
1947,Čížkov (okres Plzeň-jih),49°32′26″,13°41′
1948,Čmelíny,49°29′20″,13°39′16″
1949,Dnešice,49°36′18″,13°15′53″
1950,Dobřany,49°39′18″,13°17′35″
1951,Dolce,49°33′11″,13°23′36″
1952,Dolní Lukavice,49°36′7″,13°20′39″
1953,Drahkov,49°33′26″,13°28′21″
1954,Holýšov,49°35′37″,13°6′5″
1955,Honezovice,49°38′18″,13°3′45″
1956,Horní Kamenice (okres Plzeň-jih),49°34′11″,13°6′4″
1957,Horní Lukavice,49°36′45″,13°19′37″
1958,Horšice,49°31′54″,13°23′10″
1959,Hradec (okres Plzeň-jih),49°38′7″,13°7′17″
1960,Hradiště (okres Plzeň-jih),49°26′22″,13°45′22″
1961,Chlum (okres Plzeň-jih),49°36′19″,13°28′45″
1962,Chlumčany (okres Plzeň-jih),49°37′58″,13°18′48″
1963,Chlumy,49°26′16″,13°38′19″
1964,Chocenice,49°32′51″,13°31′12″
1965,Chotěšov (okres Plzeň-jih),49°39′15″,13°12′10″
1966,Jarov (okres Plzeň-jih),49°31′16″,13°30′27″
1967,Kasejovice,49°27′46″,13°44′26″
1968,Kbel (okres Plzeň-jih),49°29′38″,13°21′56″
1969,Klášter (okres Plzeň-jih),49°30′7″,13°34′36″
1970,Kotovice,49°40′20″,13°9′16″
1971,Kozlovice (okres Plzeň-jih),49°27′54″,13°34′58″
1972,Kramolín (okres Plzeň-jih),49°26′46″,13°34′37″
1973,Kvíčovice,49°35′25″,13°4′23″
1974,Letiny,49°32′24″,13°27′19″
1975,Lisov,49°38′19″,13°6′3″
1976,Líšina,49°36′13″,13°9′53″
1977,Louňová,49°33′46″,13°36′34″
1978,Lužany (okres Plzeň-jih),49°32′48″,13°18′57″
1979,Měcholupy (okres Plzeň-jih),49°31′10″,13°31′58″
1980,Merklín (okres Plzeň-jih),49°33′38″,13°11′53″
1981,Mileč,49°28′11″,13°36′16″
1982,Milínov,49°38′35″,13°33′58″
1983,Míšov,49°37′11″,13°43′42″
1984,Mladý Smolivec,49°30′23″,13°44′7″
1985,Mohelnice (okres Plzeň-jih),49°28′51″,13°38′30″
1986,Nebílovy,49°37′49″,13°25′45″
1987,Nekvasovy,49°26′5″,13°37′33″
1988,Nepomuk,49°29′11″,13°34′56″
1989,Netunice,49°36′59″,13°25′50″
1990,Neuměř,49°35′52″,13°3′51″
1991,Neurazy,49°26′28″,13°30′56″
1992,Nezdice,49°31′54″,13°19′0″
1993,Nezdřev,49°25′36″,13°43′41″
1994,Nová Ves (okres Plzeň-jih),49°41′10″,13°17′34″
1995,Nové Mitrovice,49°34′47″,13°41′1″
1996,Oplot,49°34′48″,13°16′27″
1997,Oselce,49°26′14″,13°40′22″
1998,Otěšice,49°32′39″,13°13′13″
1999,Polánka (okres Plzeň-jih),49°26′9″,13°33′20″
2000,Prádlo,49°30′13″,13°32′29″
2001,Předenice,49°37′28″,13°23′48″
2002,Přestavlky (okres Plzeň-jih),49°35′59″,13°14′40″
2003,Přeštice,49°34′23″,13°20′
2004,Příchovice,49°33′44″,13°20′22″
2005,Ptenín,49°31′54″,13°11′6″
2006,Radkovice (okres Plzeň-jih),49°32′53″,13°22′5″
2007,Roupov,49°32′19″,13°14′56″
2008,Řenče,49°34′48″,13°24′52″
2009,Seč (okres Plzeň-jih),49°35′17″,13°30′18″
2010,Sedliště (okres Plzeň-jih),49°31′39″,13°37′56″
2011,Skašov,49°30′38″,13°25′53″
2012,Soběkury,49°34′35″,13°14′21″
2013,Spálené Poříčí,49°36′50″,13°36′20″
2014,Srby (okres Plzeň-jih),49°31′9″,13°36′12″
2015,Stod,49°38′21″,13°9′53″
2016,Střelice (okres Plzeň-jih),49°37′50″,13°8′5″
2017,Střížovice (okres Plzeň-jih),49°36′43″,13°27′30″
2018,Štěnovice,49°40′14″,13°23′59″
2019,Štichov,49°35′6″,13°2′56″
2020,Tojice,49°29′33″,13°37′36″
2021,Třebčice,49°29′,13°36′44″
2022,Týniště (okres Plzeň-jih),49°31′16″,13°25′3″
2023,Únětice (okres Plzeň-jih),49°35′4″,13°28′12″
2024,Útušice,49°40′40″,13°22′56″
2025,Ves Touškov,49°39′42″,13°7′9″
2026,Vlčí,49°30′43″,13°21′37″
2027,Vlčtejn,49°36′53″,13°29′45″
2028,Vrčeň,49°30′29″,13°37′8″
2029,Vstiš,49°38′41″,13°14′54″
2030,Všekary,49°36′13″,13°2′33″
2031,Zdemyslice,49°36′25″,13°31′11″
2032,Zemětice,49°34′43″,13°11′11″
2033,Žákava,49°37′48″,13°31′51″
2034,Ždírec (okres Plzeň-jih),49°33′7″,13°34′20″
2035,Žinkovy,49°29′,13°29′22″
2036,Životice (okres Plzeň-jih),49°28′0″,13°41′7″
2037,Dýšina,49°46′39″,13°29′30″
2038,Chrást (okres Plzeň-město),49°47′36″,13°29′37″
2039,Chválenice,49°38′35″,13°28′34″
2040,Kyšice (okres Plzeň-město),49°45′12″,13°29′11″
2041,Letkov,49°43′50″,13°27′54″
2042,Lhůta (okres Plzeň-město),49°42′7″,13°31′40″
2043,Losiná,49°40′9″,13°26′54″
2044,Mokrouše,49°42′55″,13°31′29″
2045,Nezbavětice,49°39′18″,13°28′38″
2046,Nezvěstice,49°38′26″,13°31′11″
2047,Plzeň,49°44′29″,13°22′57″
2048,Starý Plzenec,49°41′52″,13°28′25″
2049,Šťáhlavy,49°40′32″,13°30′14″
2050,Štěnovický Borek,49°38′59″,13°25′37″
2051,Tymákov,49°43′9″,13°30′36″
2052,Bdeněves,49°46′11″,13°14′7″
2053,Bezvěrov,49°59′42″,13°3′33″
2054,Bílov (okres Plzeň-sever),50°1′5″,13°25′30″
2055,Blatnice (okres Plzeň-sever),49°43′11″,13°9′22″
2056,Blažim (okres Plzeň-sever),49°54′58″,13°2′52″
2057,Bohy,49°56′17″,13°34′33″
2058,Brodeslavy,49°57′14″,13°33′25″
2059,Bučí,49°53′7″,13°18′10″
2060,Čeminy,49°48′,13°15′11″
2061,Černíkovice (okres Plzeň-sever),49°58′32″,13°34′1″
2062,Čerňovice,49°48′47″,13°6′13″
2063,Česká Bříza,49°49′43″,13°25′47″
2064,Dobříč (okres Plzeň-sever),49°53′5″,13°28′6″
2065,Dolany (okres Plzeň-sever),49°48′28″,13°28′21″
2066,Dolní Bělá,49°53′47″,13°16′24″
2067,Dolní Hradiště,49°54′50″,13°29′47″
2068,Dražeň,49°55′37″,13°17′17″
2069,Druztová,49°47′51″,13°26′56″
2070,Heřmanova Huť,49°42′25″,13°6′3″
2071,Hlince (okres Plzeň-sever),49°56′54″,13°37′30″
2072,Hněvnice,49°43′43″,13°6′11″
2073,Holovousy (okres Plzeň-sever),49°58′5″,13°36′53″
2074,Horní Bělá,49°53′21″,13°15′51″
2075,Horní Bříza,49°50′25″,13°21′20″
2076,Hromnice (okres Plzeň-sever),49°50′57″,13°26′29″
2077,Hvozd (okres Plzeň-sever),49°56′23″,13°15′47″
2078,Chotíkov,49°47′35″,13°19′4″
2079,Chříč,49°58′19″,13°38′45″
2080,Jarov (okres Plzeň-sever),49°52′21″,13°28′28″
2081,Kaceřov (okres Plzeň-sever),49°52′15″,13°30′46″
2082,Kaznějov,49°53′36″,13°22′59″
2083,Kbelany,49°43′57″,13°7′35″
2084,Kočín (okres Plzeň-sever),49°55′50″,13°28′34″
2085,Kopidlo,49°56′36″,13°27′52″
2086,Koryta (okres Plzeň-sever),49°54′2″,13°28′29″
2087,Kozojedy (okres Plzeň-sever),49°55′53″,13°32′33″
2088,Kozolupy (okres Plzeň-sever),49°45′50″,13°15′8″
2089,Kožlany,49°59′38″,13°32′28″
2090,Kralovice,49°58′55″,13°29′15″
2091,Krašovice (okres Plzeň-sever),49°52′21″,13°18′19″
2092,Krsy,49°55′35″,13°3′18″
2093,Křelovice (okres Plzeň-sever),49°52′28″,13°4′33″
2094,Kunějovice,49°51′43″,13°14′13″
2095,Ledce (okres Plzeň-sever),49°49′18″,13°19′43″
2096,Líně,49°41′41″,13°15′25″
2097,Líšťany (okres Plzeň-sever),49°49′52″,13°10′52″
2098,Líté,49°54′49″,13°15′39″
2099,Lochousice,49°40′31″,13°5′26″
2100,Loza,49°53′38″,13°17′26″
2101,Manětín,49°59′31″,13°14′0″
2102,Město Touškov,49°46′34″,13°15′4″
2103,Mladotice (okres Plzeň-sever),49°59′7″,13°21′52″
2104,Mrtník (okres Plzeň-sever),49°53′44″,13°18′44″
2105,Myslinka,49°44′53″,13°13′9″
2106,Nadryby,49°49′15″,13°31′28″
2107,Nečtiny,49°58′30″,13°9′53″
2108,Nekmíř,49°51′29″,13°15′48″
2109,Nevřeň,49°49′23″,13°16′30″
2110,Nýřany,49°42′42″,13°12′43″
2111,Obora (okres Plzeň-sever),49°53′22″,13°24′49″
2112,Ostrov u Bezdružic,49°54′,13°2′31″
2113,Pastuchovice,50°4′9″,13°22′56″
2114,Pernarec,49°50′26″,13°6′10″
2115,Pláně (okres Plzeň-sever),49°57′1″,13°18′30″
2116,Plasy,49°56′5″,13°23′26″
2117,Plešnice,49°46′27″,13°10′36″
2118,Pňovany,49°46′44″,13°7′19″
2119,Potvorov,50°0′58″,13°23′58″
2120,Přehýšov,49°42′10″,13°7′37″
2121,Příšov,49°48′42″,13°18′15″
2122,Rochlov,49°43′51″,13°8′45″
2123,Rybnice,49°54′30″,13°22′26″
2124,Sedlec (okres Plzeň-sever),50°0′23″,13°25′38″
2125,Slatina (okres Plzeň-sever),49°59′5″,13°38′2″
2126,Studená (okres Plzeň-sever),49°57′39″,13°38′35″
2127,Štichovice,49°58′40″,13°18′10″
2128,Tatiná,49°50′55″,13°17′59″
2129,Tis u Blatna,50°5′9″,13°20′52″
2130,Tlučná,49°43′28″,13°14′7″
2131,Trnová (okres Plzeň-sever),49°51′40″,13°19′26″
2132,Třemošná,49°48′57″,13°23′42″
2133,Úherce (okres Plzeň-sever),49°42′5″,13°12′50″
2134,Újezd nade Mží,49°47′20″,13°11′42″
2135,Úlice,49°45′39″,13°8′54″
2136,Úněšov,49°52′58″,13°8′57″
2137,Úterý (okres Plzeň-sever),49°56′25″,13°0′15″
2138,Vejprnice,49°43′48″,13°16′35″
2139,Velečín,50°4′28″,13°24′6″
2140,Vochov,49°45′25″,13°16′43″
2141,Všehrdy (okres Plzeň-sever),49°57′50″,13°35′6″
2142,Všeruby (okres Plzeň-sever),49°50′30″,13°13′46″
2143,Výrov (okres Plzeň-sever),49°57′43″,13°27′45″
2144,Vysoká Libyně,50°1′19″,13°27′3″
2145,Zahrádka (okres Plzeň-sever),49°52′51″,13°12′42″
2146,Zbůch,49°40′43″,13°13′33″
2147,Zruč-Senec,49°48′28″,13°25′35″
2148,Žihle,50°2′42″,13°22′30″
2149,Žilov,49°50′24″,13°18′48″
2150,Bezděkov (okres Rokycany),49°49′28″,13°35′48″
2151,Břasy,49°50′14″,13°34′42″
2152,Březina (okres Rokycany),49°48′27″,13°35′49″
2153,Bujesily,49°54′53″,13°34′28″
2154,Bušovice,49°47′44″,13°32′5″
2155,Cekov,49°49′19″,13°45′50″
2156,Čilá,49°57′42″,13°44′32″
2157,Dobřív,49°42′57″,13°41′13″
2158,Drahoňův Újezd,49°52′38″,13°43′33″
2159,Ejpovice,49°44′46″,13°30′52″
2160,Hlohovice,49°53′22″,13°38′36″
2161,Holoubkov,49°46′34″,13°41′33″
2162,Hrádek (okres Rokycany),49°42′36″,13°39′15″
2163,Hradiště (okres Rokycany),49°57′47″,13°43′4″
2164,Hůrky,49°44′45″,13°40′59″
2165,Cheznovice,49°46′44″,13°47′8″
2166,Chlum (okres Rokycany),49°56′9″,13°39′35″
2167,Chomle,49°51′45″,13°38′4″
2168,Kakejcov,49°40′1″,13°37′27″
2169,Kamenec (okres Rokycany),49°52′52″,13°35′47″
2170,Kamenný Újezd (okres Rokycany),49°43′26″,13°37′8″
2171,Kařez,49°49′28″,13°46′54″
2172,Kařízek,49°48′48″,13°47′59″
2173,Klabava (okres Rokycany),49°45′13″,13°32′22″
2174,Kladruby (okres Rokycany),49°54′47″,13°37′54″
2175,Kornatice,49°39′33″,13°35′32″
2176,Lhota pod Radčem,49°49′39″,13°42′39″
2177,Lhotka u Radnic,49°53′24″,13°34′54″
2178,Liblín,49°55′,13°32′39″
2179,Líšná (okres Rokycany),49°53′6″,13°48′23″
2180,Litohlavy,49°46′0″,13°33′53″
2181,Medový Újezd,49°46′26″,13°43′9″
2182,Mešno,49°39′21″,13°37′19″
2183,Mirošov,49°41′17″,13°39′29″
2184,Mlečice,49°55′13″,13°41′46″
2185,Mýto,49°47′21″,13°44′5″
2186,Němčovice,49°52′37″,13°34′30″
2187,Nevid,49°41′8″,13°36′20″
2188,Osek (okres Rokycany),49°46′41″,13°35′28″
2189,Ostrovec-Lhotka,49°55′5″,13°43′35″
2190,Plískov,49°50′37″,13°44′7″
2191,Podmokly (okres Rokycany),49°56′36″,13°42′16″
2192,Příkosice,49°40′6″,13°39′49″
