,Town name,Latitude,Longitude
130,Hvozdec (okres Beroun),49°48′26″,13°52′49″
131,Hýskov,49°59′27″,14°3′2″
132,Chaloupky (okres Beroun),49°47′29″,13°52′18″
133,Chlustina,49°52′41″,13°55′10″
134,Chodouň,49°53′54″,13°59′12″
135,Chrustenice,50°0′22″,14°9′8″
136,Chyňava,50°1′39″,14°4′27″
137,Jivina (okres Beroun),49°47′37″,13°50′16″
138,Karlštejn (městys),49°56′15″,14°11′10″
139,Komárov (okres Beroun),49°48′24″,13°51′23″
140,Koněprusy,49°55′16″,14°3′57″
141,Korno,49°55′14″,14°8′13″
142,Kotopeky,49°51′25″,13°55′31″
143,Králův Dvůr,49°57′0″,14°2′4″
144,Kublov,49°56′38″,13°52′36″
145,Lážovice,49°51′30″,14°4′17″
146,Lhotka (okres Beroun),49°49′56″,13°59′47″
147,Libomyšl,49°52′21″,13°59′55″
148,Liteň,49°54′14″,14°8′57″
149,Loděnice (okres Beroun),49°59′42″,14°9′29″
150,Lochovice,49°51′12″,13°58′53″
151,Lužce,49°59′3″,14°11′48″
152,Malá Víska,49°46′34″,13°52′32″
153,Málkov (okres Beroun),49°53′18″,14°1′25″
154,Měňany,49°54′36″,14°7′4″
155,Mezouň,50°0′16″,14°12′51″
156,Mořina,49°57′11″,14°12′31″
157,Mořinka,49°56′21″,14°14′14″
158,Nenačovice,50°1′9″,14°8′21″
159,Nesvačily (okres Beroun),49°52′53″,14°7′28″
160,Neumětely,49°51′9″,14°2′12″
161,Nižbor,50°,14°0′9″
162,Nový Jáchymov,49°58′51″,13°56′36″
163,Olešná (okres Beroun),49°46′50″,13°48′36″
164,Osek (okres Beroun),49°49′11″,13°51′31″
165,Osov,49°50′40″,14°5′2″
166,Otmíče,49°52′9″,13°56′50″
167,Otročiněves,49°58′50″,13°58′44″
168,Podbrdy,49°51′47″,14°7′36″
169,Podluhy,49°48′57″,13°54′49″
170,Praskolesy,49°51′57″,13°56′
171,Rpety,49°49′42″,13°56′19″
172,Skřipel,49°50′31″,14°4′1″
173,Skuhrov (okres Beroun),49°52′24″,14°8′48″
174,Srbsko (okres Beroun),49°56′14″,14°8′10″
175,Stašov (okres Beroun),49°53′,13°57′27″
176,Suchomasty,49°53′44″,14°3′24″
177,Svatá (okres Beroun),49°56′21″,13°57′42″
178,Svatý Jan pod Skalou,49°58′8″,14°8′0″
179,Svinaře,49°53′30″,14°11′4″
180,Tetín (okres Beroun),49°56′58″,14°6′8″
181,Tlustice,49°51′,13°53′8″
182,Tmaň,49°54′26″,14°2′2″
183,Točník,49°53′8″,13°52′58″
184,Trubín,49°56′38″,14°0′8″
185,Trubská,49°57′18″,13°59′37″
